conceito_atual,conceito_ctc,conceito_rec,q2_q5,itens_q2_q5,itens_q3_q4,docentes_ano_2001_2003,docentes_ano_2004_2006,docentes_ano_2001_2006,Teses_2001_2003,Diss_2001_2003,Teses_2004_2006,Diss_2004_2006,Teses_2001_2006,Diss_2001_2006,di_te_2001_2003,di_te_2004_2006,di_te_2001_2006,egressos_mestrado_97_01,egr_m_tit_dou_97_01,n_esp_dout_97_01,escore_1,egressos_dout_97_03,egressos_doc_ppg_97_03,n_esp_doc_ppg_97_03,Escore_2,doc_ies_dif,perc_doc_dif_doc_ppg,bolsistas_prod,docentes,perc_bols_doc,Escore_3,sigla_IES,id_instituicao
7,7.0,,5.0,4.96,5.0,202,248,450,131,94,138,140,269.0,234.0,0.717557252,1.014492754,0.869888476,159.0,88.0,39.341,79.91708093,308.0,79.0,99.493,42.43778503,74.0,93.67088608,48.0,82.0,58.53658537,69.91034434,,
6,7.0,,5.0,4.98,5.0,115,224,339,52,36,84,73,136.0,109.0,0.692307692,0.869047619,0.801470588,,,,,65.0,4.0,12.723,11.59852677,4.0,100.0,44.0,66.0,66.66666667,72.42778618,,
6,7.0,,5.0,4.98,5.0,127,159,286,68,72,91,75,159.0,147.0,1.058823529,0.824175824,0.924528302,121.0,83.0,30.58,88.81651987,147.0,32.0,45.711,37.36058317,26.0,81.25,30.0,41.0,73.17073171,77.54450966,,
6,7.0,,4.9,4.92,5.0,51,63,114,28,47,37,87,65.0,134.0,1.678571429,2.351351351,2.061538462,77.0,48.0,20.554,81.82517414,37.0,6.0,9.362,33.98753298,4.0,66.66666667,20.0,21.0,95.23809524,84.99281863,,
6,7.0,,4.9,4.87,5.0,91,99,190,40,34,49,41,89.0,75.0,0.85,0.836734694,0.842696629,83.0,45.0,20.398,79.31252271,91.0,27.0,28.735,49.74297506,26.0,96.2962963,20.0,33.0,60.60606061,68.63122851,,
7,6.0,,4.9,4.85,5.0,87,84,171,42,50,49,33,91.0,83.0,1.19047619,0.673469388,0.912087912,85.0,60.0,21.509,90.14719142,121.0,33.0,41.174,42.8271399,28.0,84.84848485,21.0,28.0,75.0,78.92061721,,
6,6.0,,5.0,5.0,5.0,54,79,133,23,28,26,34,49.0,62.0,1.217391304,1.307692308,1.265306122,69.0,28.0,18.735,63.91354102,78.0,22.0,26.853,43.74995981,19.0,86.36363636,11.0,20.0,55.0,66.01537377,,
6,6.0,,5.0,4.7325,4.757692308,57,93,150,17,16,21,30,38.0,46.0,0.941176471,1.428571429,1.210526316,20.0,8.0,4.756,,46.0,17.0,14.789,59.33975097,13.0,76.47058824,18.0,27.0,66.66666667,71.42213435,,
5,6.0,,5.0,4.98,5.0,131,173,304,33,46,58,65,91.0,111.0,1.393939394,1.120689655,1.21978022,65.0,32.0,17.032,72.59735266,105.0,31.0,35.361,46.6595021,27.0,87.09677419,28.0,45.0,62.22222222,65.19764373,,
5,6.0,,5.0,4.96,5.0,62,135,197,16,24,38,47,54.0,71.0,1.5,1.236842105,1.314814815,59.0,29.0,15.248,73.08903611,21.0,4.0,4.205,,3.0,75.0,21.0,34.0,61.76470588,64.19244631,,
